#,Album,Artist(s),Major contributors,Artist
1,What's Going On,Marvin Gaye,,Marvin Gaye
2,Pet Sounds,The Beach Boys,,The Beach Boys
3,Blue,Joni Mitchell,,Joni Mitchell
4,Songs in the Key of Life,Stevie Wonder,,Stevie Wonder
5,Abbey Road,The Beatles,Ritchie333,The Beatles
6,Nevermind,Nirvana,WesleyDodds,Nirvana
7,Rumours,Fleetwood Mac,Rafablu88,Fleetwood Mac
8,Purple Rain,Princeandthe Revolution,,Princeandthe Revolution
9,Blood on the Tracks,Bob Dylan,,Bob Dylan
10,The Miseducation of Lauryn Hill,Lauryn Hill,isento,Lauryn Hill
11,Revolver,The Beatles,JG66,The Beatles
12,Thriller,Michael Jackson,"Realist2,The Elfoid,Tbhotch",Michael Jackson
13,I Never Loved a Man the Way I Love You,Aretha Franklin,,Aretha Franklin
14,Exile on Main St.,The Rolling Stones,,The Rolling Stones
15,It Takes a Nation of Millions to Hold Us Back,Public Enemy,,Public Enemy
16,London Calling,The Clash,pjoef,The Clash
17,My Beautiful Dark Twisted Fantasy,Kanye West,isento,Kanye West
18,Highway 61 Revisited,Bob Dylan,"Mick gold,Moisejp",Bob Dylan
19,To Pimp a Butterfly,Kendrick Lamar,,Kendrick Lamar
20,Kid A,Radiohead,"Popcornduff,electricController,DannyMusicEditor",Radiohead
21,Born to Run,Bruce Springsteen,zmbro,Bruce Springsteen
22,Ready to Die,The Notorious B.I.G.,isento,The Notorious B.I.G.
23,The Velvet Underground & Nico,The Velvet Underground,"Chrissymad,Pele Merengue",The Velvet Underground
24,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,GabeMc,The Beatles
25,Tapestry,Carole King,,Carole King
26,Horses,Patti Smith,Holiday56,Patti Smith
27,Enter the Wu-Tang,Wu-Tang Clan,,Wu-Tang Clan
28,Voodoo,D'Angelo,isento,D'Angelo
29,The Beatles,The Beatles,"Ritchie333,JG66",The Beatles
30,Are You Experienced,The Jimi Hendrix Experience,GabeMc,The Jimi Hendrix Experience
31,Kind of Blue,Miles Davis,isento,Miles Davis
32,Lemonade,Beyoncé,,Beyoncé
33,Back to Black,Amy Winehouse,AppleWormBoy,Amy Winehouse
34,Innervisions,Stevie Wonder,,Stevie Wonder
35,Rubber Soul,The Beatles,,The Beatles
36,Off the Wall,Michael Jackson,Realist2,Michael Jackson
